fire_time,setup,direction,entry,stop,target,outcome,close_time,bars_held,vix_at_fire,vix_bin,regime,r_multiple
2025-06-18 18:30:00+00:00,Vol Bull,CALL,600.375,598.781355497906,602.765466753141,LOSS,2025-06-18 18:45:00+00:00,1.0,20.139999389648438,mid,bull_mid,-1.0
2025-06-20 13:30:00+00:00,Vol Bull,CALL,599.3393,597.0980614226152,602.7011578660772,LOSS,2025-06-20 14:00:00+00:00,2.0,20.6200008392334,mid,bull_mid,-1.0
2025-06-23 18:15:00+00:00,EMA Gold,CALL,598.36,596.2735451653573,601.4896822519642,WIN,2025-06-24 13:30:00+00:00,7.0,19.829999923706055,mid,bull_mid,1.5
2025-06-24 19:00:00+00:00,Vol Bull,CALL,607.55,606.4408101165141,609.2137848252288,LOSS,2025-06-25 16:45:00+00:00,17.0,17.479999542236328,mid,bull_mid,-1.0
2025-06-26 14:00:00+00:00,Vol Bull,CALL,609.382,608.2258726031145,611.1161910953282,WIN,2025-06-26 16:15:00+00:00,9.0,16.59000015258789,mid,bull_mid,1.5
2025-06-26 19:45:00+00:00,Vol Bull,CALL,611.89,611.0250805453659,613.1873791819511,WIN,2025-06-27 13:30:00+00:00,1.0,16.59000015258789,mid,bull_mid,1.5
2025-06-27 19:45:00+00:00,Vol Bull,CALL,614.86,613.3587450320312,617.1118824519533,WIN,2025-06-30 13:30:00+00:00,1.0,16.31999969482422,mid,bull_mid,1.5
2025-06-30 19:15:00+00:00,Vol Bull,CALL,617.9,616.6196899643667,619.8204650534499,LOSS,2025-07-01 13:30:00+00:00,3.0,16.729999542236328,mid,bull_mid,-1.0
2025-07-02 19:45:00+00:00,Vol Bull,CALL,620.39,619.5880278602258,621.5929582096612,WIN,2025-07-03 13:30:00+00:00,1.0,16.639999389648438,mid,bull_mid,1.5
2025-07-03 13:30:00+00:00,Vol Bull,CALL,623.46,622.3676330130669,625.0985504803997,WIN,2025-07-03 14:15:00+00:00,3.0,16.3799991607666,mid,bull_mid,1.5
2025-07-07 13:30:00+00:00,Vol Bull,CALL,623.45,622.6076407069469,624.7135389395798,LOSS,2025-07-07 14:15:00+00:00,3.0,17.790000915527344,mid,bull_mid,-1.0
2025-07-07 15:30:00+00:00,VWAP Bounce Up,CALL,621.64,620.6755491483156,623.0866762775266,LOSS,2025-07-07 16:15:00+00:00,3.0,17.790000915527344,mid,bull_mid,-1.0
2025-07-07 16:15:00+00:00,VWAP Bounce Up,CALL,620.575,619.35854973719,622.3996753942151,LOSS,2025-07-07 18:15:00+00:00,8.0,17.790000915527344,mid,bull_mid,-1.0
2025-07-07 18:15:00+00:00,VWAP Bounce Up,CALL,617.99,616.5438728224659,620.1591907663012,WIN,2025-07-07 18:45:00+00:00,2.0,17.790000915527344,mid,bull_mid,1.5
2025-07-09 13:45:00+00:00,EMA Gold,CALL,624.245,622.7573308387323,626.4765037419016,LOSS,2025-07-09 14:30:00+00:00,3.0,15.9399995803833,mid,bull_mid,-1.0
2025-07-09 19:45:00+00:00,Vol Bull,CALL,624.03,622.9415822387322,625.6626266419016,WIN,2025-07-10 15:30:00+00:00,9.0,15.9399995803833,mid,bull_mid,1.5
2025-07-11 13:30:00+00:00,VWAP Bounce Up,CALL,621.83,620.5931498604103,623.6852752093846,WIN,2025-07-11 14:15:00+00:00,3.0,16.399999618530273,mid,bull_mid,1.5
2025-07-14 17:15:00+00:00,EMA Gold,CALL,624.7,623.6941579675405,626.2087630486894,WIN,2025-07-15 13:30:00+00:00,11.0,17.200000762939453,mid,bull_mid,1.5
2025-07-15 18:00:00+00:00,EMA Gold,CALL,624.735,623.5287751980262,626.5443372029608,LOSS,2025-07-15 18:45:00+00:00,3.0,17.3799991607666,mid,bull_mid,-1.0
2025-07-17 13:30:00+00:00,EMA Gold,CALL,625.575,624.1117525380783,627.7698711928825,WIN,2025-07-17 18:15:00+00:00,19.0,16.520000457763672,mid,bull_mid,1.5
2025-07-17 19:45:00+00:00,Vol Bull,CALL,627.98,627.1538306056676,629.2192540914986,WIN,2025-07-18 13:30:00+00:00,1.0,16.520000457763672,mid,bull_mid,1.5
2025-07-18 19:45:00+00:00,Vol Bull,CALL,627.58,626.6906280041235,628.9140579938148,WIN,2025-07-21 13:30:00+00:00,1.0,16.40999984741211,mid,bull_mid,1.5
2025-07-22 13:45:00+00:00,VWAP Bounce Up,CALL,626.88,625.7601673395766,628.5597489906352,WIN,2025-07-22 17:15:00+00:00,14.0,16.5,mid,bull_mid,1.5
2025-07-22 19:30:00+00:00,EMA Gold,CALL,629.33,628.3241012779093,630.8388480831361,WIN,2025-07-23 13:30:00+00:00,2.0,16.5,mid,bull_mid,1.5
2025-07-23 19:45:00+00:00,Vol Bull,CALL,634.16,633.1415692141624,635.6876461787564,WIN,2025-07-24 15:00:00+00:00,7.0,15.369999885559082,mid,bull_mid,1.5
2025-07-28 19:45:00+00:00,Vol Bull,CALL,636.92,636.1526148522635,638.0710777216046,WIN,2025-07-29 13:30:00+00:00,1.0,15.029999732971191,mid,bull_mid,1.5
2025-07-30 17:30:00+00:00,EMA Gold,CALL,636.88,635.9870610189034,638.2194084716449,LOSS,2025-07-30 18:30:00+00:00,4.0,15.479999542236328,mid,bull_mid,-1.0
2025-07-30 18:45:00+00:00,VWAP Bounce Up,CALL,632.84,631.3701791903889,635.0447312144167,WIN,2025-07-31 13:30:00+00:00,5.0,15.479999542236328,mid,bull_mid,1.5
2025-07-31 14:00:00+00:00,EMA Gold,CALL,639.3,636.9730857713463,642.7903713429804,LOSS,2025-07-31 14:45:00+00:00,3.0,16.719999313354492,mid,bull_mid,-1.0
2025-08-04 17:00:00+00:00,EMA Gold,CALL,630.51,628.7767233319112,633.1099150021331,LOSS,2025-08-05 14:30:00+00:00,16.0,17.520000457763672,mid,bull_mid,-1.0
