date,open,high,low,close,volume
2022-06-29,104.06,104.12,102.05,103.13,223258
2022-06-30,101.65,103.56,100.14,101.89,248542
2022-07-01,99.8,100.38,96.85,98,228530
2022-07-05,95.2,98.48,94.99,98.48,264078
2022-07-06,98.6,100.2,97.61,99.24,83210
2022-07-07,101.51,104.18,101.51,103.78,157534
2022-07-08,102.32,104.92,102.07,104.34,90564
2022-07-11,102.61,103.16,101.26,101.79,83070
2022-07-12,102.84,103.27,101.3,101.86,73130
2022-07-13,99.91,103.33,99.7,102.86,80344
2022-07-14,102.34,105.14,100.82,104.75,133378
2022-07-15,106.25,107.37,104.89,107.37,206942
2022-07-18,108.88,109.49,106.09,106.69,189586
2022-07-19,108.44,111.84,108.24,111.48,189488
2022-07-20,111.03,114.49,110.51,114.06,167634
2022-07-21,114.51,116.07,113.18,115.99,118374
2022-07-22,115.57,115.68,112.56,113.28,170184
2022-07-25,112.52,112.85,111.19,112.77,100828
2022-07-26,112.36,112.71,110.65,111.11,65610
2022-07-27,112.83,116.9,112.81,116.11,209340
2022-07-28,116.24,117.78,114.11,117.57,79382
2022-07-29,116.03,118.91,115.8,118.67,112614
2022-08-01,117.52,119.81,116.86,118.83,130108
2022-08-02,117.53,120.29,117.02,118.65,84032
2022-08-03,118.59,121.68,118.46,121.36,85898
2022-08-04,121.15,122.82,120.92,122.71,109432
2022-08-05,120.62,122.72,120.09,121.81,78438
2022-08-08,119.91,121.33,118.03,119.74,156832
2022-08-09,116.8,117.15,113.41,114.72,320684
2022-08-10,117.75,119.4,116.27,119.32,221036
2022-08-11,119.97,122.49,119.07,119.19,172808
2022-08-12,120.1,122.82,119.72,122.66,136974
2022-08-15,121.98,123.47,121.6,123.16,84476
2022-08-16,122.57,122.83,120.57,121.9,86428
2022-08-17,120.09,120.25,117.77,119.11,136430
2022-08-18,119.1,121.7,119.06,120.86,61400
2022-08-19,119.34,119.75,117.12,117.57,169076
2022-08-22,115.11,115.46,113,113.39,89700
2022-08-23,113.69,115.49,113.55,114.02,157330
2022-08-24,114.02,114.36,112.91,114.03,85686
2022-08-25,114.25,117.85,114.25,117.84,153900
2022-08-26,117.1,117.53,111.38,111.38,244084
2022-08-29,110.43,111.43,109.17,109.19,191002
2022-08-30,110.21,110.41,106.91,108.11,93854
2022-08-31,108.38,108.86,106.56,107.18,132038
2022-09-01,104.41,105.09,102.15,105.03,162870
2022-09-02,106.4,107.05,103.47,103.95,109018
2022-09-06,103.81,104.28,102.13,102.93,108106
2022-09-07,103.06,105.14,102.34,104.35,128828
2022-09-08,103.21,106.11,102.7,105.85,201328
2022-09-09,107.16,108.69,107.16,108.38,95016
2022-09-12,108.72,109.3,107.73,108.77,80554
2022-09-13,104.79,105.72,101.95,102.19,199488
2022-09-14,103.15,103.9,102.05,103.39,147760
2022-09-15,102.65,103.63,100.87,101.61,74122
2022-09-16,100.5,102.05,99.79,102,150324
2022-09-19,100.77,102.9,100.77,102.58,58226
2022-09-20,101.53,102.1,100.68,101.31,146052
2022-09-21,101.51,104.63,100.44,100.44,177648
2022-09-22,99.75,99.99,97.37,97.73,126876
2022-09-23,96.55,96.79,94.78,96.18,136180
2022-09-26,96.05,97.26,94.93,94.93,85264
2022-09-27,96.65,97.29,94.47,95.85,158564
2022-09-28,94.94,97.43,94.65,97,124078
2022-09-29,95.15,95.43,92.74,94.06,193428
