date,open,high,low,close,volume
2023-05-03,31.64,31.83,30.24,30.44,468850
2023-05-04,31.27,32.11,30.82,31.14,203520
2023-05-05,31.28,32.83,31.28,32.71,366100
2023-05-08,31.05,31.05,29.4,29.41,348350
2023-05-09,29.9,30.87,28.98,30.36,253450
2023-05-10,31.45,32.55,30.57,31.42,377160
2023-05-11,30.88,30.88,28.5,28.78,455060
2023-05-12,28.46,28.58,26.66,27.08,419790
2023-05-15,27.97,28.62,27.65,28.29,251450
2023-05-16,27.98,28.11,27.33,27.36,180700
2023-05-17,27.22,29.05,27.07,29.04,137790
2023-05-18,29.03,29.7,28.05,28.73,142590
2023-05-19,28.95,29.03,28.27,28.77,87390
2023-05-22,28.61,29.65,28.61,29.39,162890
2023-05-23,30.01,30.04,28.84,28.92,180250
2023-05-24,28.23,28.61,27.67,28.46,361680
2023-05-25,28.74,28.78,27.33,28.11,333240
2023-05-26,28.28,29.44,28.27,28.52,157730
2023-05-30,30.43,31.31,29.7,29.93,201170
2023-05-31,29.34,30.27,28.94,30.12,197720
2023-06-01,29.86,30.69,29.7,30,89480
2023-06-02,30.49,30.49,29.14,30.24,176790
2023-06-05,29.54,29.67,27.17,27.65,444060
2023-06-06,27.34,30.43,26.89,29.91,576210
2023-06-07,29.82,30.09,28.83,29.08,212100
2023-06-08,29.07,29.6,28.53,29.24,94740
2023-06-09,29.42,29.5,28.11,28.24,116020
2023-06-12,27.98,28.14,27.75,27.8,143670
2023-06-13,28.21,28.33,27.53,28.33,96290
2023-06-14,28.2,28.56,27.8,28.31,81460
2023-06-15,27.28,28.11,26.77,27.79,169920
2023-06-16,28.37,29.77,28.18,29.34,335910
2023-06-20,29.99,31.51,29.14,31.36,427570
2023-06-21,32.84,33.76,32.1,33.08,422000
2023-06-22,33.28,33.65,31.38,32.71,217910
2023-06-23,32.5,33.6,31.8,32.93,258380
2023-06-26,32.45,32.76,30.14,30.59,261240
2023-06-27,31.29,32.76,31.29,32.51,145410
2023-06-28,32.03,33.25,32.03,32.54,94050
2023-06-29,33.36,34.06,32.94,34.05,204970
2023-06-30,34.95,35.13,32.57,34.28,236510
2023-07-03,35.16,37.79,35.16,37.79,214940
2023-07-05,36.7,38.24,36.15,37.82,227030
2023-07-06,38.39,38.39,36.27,37.67,178510
2023-07-07,37.4,39.13,37.4,38.05,152900
2023-07-10,38.25,40.78,37.3,40.78,261820
2023-07-11,40.13,41.48,39.74,41.29,352780
2023-07-12,41.61,42.04,40.7,41.26,265110
2023-07-13,41.57,46.68,41.29,46.23,636480
2023-07-14,45.43,47.38,44.74,45.82,343860
2023-07-17,45,46.47,44.44,44.98,184950
2023-07-18,44.93,45.3,43.52,44.62,164290
2023-07-19,44.94,45.83,44.76,45.33,97800
2023-07-20,45.46,46.02,43.55,43.99,102600
2023-07-21,44.21,44.21,42.93,43.62,91430
2023-07-24,42.63,43.11,41.65,43.11,145530
2023-07-25,43.03,44.13,43.03,43.68,153480
2023-07-26,44.13,44.71,43.84,44.29,87270
2023-07-27,45.06,45.13,42.44,42.67,91980
2023-07-28,43.34,43.77,42.6,43.44,102730
2023-07-31,43.92,44.2,43.38,43.8,68450
2023-08-01,42.85,43.75,42.21,43.47,106350
2023-08-02,43.52,43.52,40.16,40.75,176080
2023-08-03,39.76,40,38.83,39.14,125490
2023-08-04,39,39.25,37.52,37.74,69930
2023-08-07,37.06,37.21,35.81,37.2,163630
2023-08-08,37.79,39.53,37.62,38.94,139270
2023-08-09,39.11,39.11,37.71,37.76,86220
2023-08-10,38.74,38.74,37.32,37.82,39470
2023-08-11,38.15,38.62,38.15,38.38,58490
2023-08-14,38.18,39.23,38.06,38.88,47490
2023-08-15,39.23,39.23,37.64,37.64,61660
2023-08-16,37.07,37.55,36.67,36.94,75600
2023-08-17,35.68,36.18,34.58,34.71,134120
2023-08-18,33.07,33.7,32.3,32.83,239830
2023-08-21,33.12,33.68,32.66,33.55,72880
2023-08-22,33.62,33.62,32.82,32.96,60880
2023-08-23,33,34.99,33,34.64,122190
2023-08-24,34.71,34.71,33.34,33.67,95450
2023-08-25,34.12,34.33,33.03,33.63,80700
2023-08-28,33.9,34.83,33.9,34.44,95430
2023-08-29,34.27,38.66,34.27,38.13,281860
2023-08-30,37.48,37.48,36.89,37.18,92070
2023-08-31,37.32,37.42,35.58,35.69,49630
2023-09-01,35.75,35.75,34.7,35.13,112420
2023-09-05,34.78,35.19,34.78,34.93,38330
2023-09-06,35.09,35.67,34.68,35.07,125520
2023-09-07,34.19,35.65,33.95,35.4,66740
2023-09-08,35.32,35.6,34.82,35.6,123330
2023-09-11,35.35,35.46,33.6,34.3,138400
2023-09-12,35.41,36.57,34.66,34.78,126970
2023-09-13,34.78,35.05,34.12,34.18,46310
2023-09-14,35.1,35.99,34.64,34.64,108050
2023-09-15,34.44,34.56,33.7,34.03,103700
2023-09-18,35.03,35.58,33.96,34.07,67830
2023-09-19,34.5,34.8,33.93,33.99,101820
2023-09-20,33.93,34.43,33.48,33.48,60870
2023-09-21,32.53,32.75,32.27,32.58,94120
2023-09-22,32.31,32.55,32.11,32.27,56660
2023-09-25,31.86,32.76,31.65,32.76,113630
2023-09-26,32.64,32.9,31.8,31.83,87580
2023-09-27,32.41,32.52,31.11,31.6,38920
2023-09-28,31.9,33.5,31.89,32.87,104860
2023-09-29,33.21,33.39,32.61,32.77,95760
2023-10-02,34.64,35.21,32.8,33,136180
2023-10-03,32.48,32.54,31.15,31.15,188700
2023-10-04,30.82,32.37,30.82,32.08,88050
2023-10-05,32.43,32.43,31.74,32.25,86540
2023-10-06,32.07,34.11,32,34.03,93900
2023-10-09,33.67,34.1,33.43,34.06,79680
2023-10-10,34.12,34.46,33.9,34.09,81330
2023-10-11,33.96,34,33.09,33.47,71590
2023-10-12,33.27,33.27,32.11,32.35,113090
2023-10-13,32.7,32.7,31.54,31.83,117870
2023-10-16,34.02,35.28,32.15,32.55,360130
2023-10-17,32.25,34.04,32.16,33.51,121520
2023-10-18,33.39,33.63,32.65,32.96,81350
2023-10-19,33.29,34.84,32.92,34.23,166630
2023-10-20,35.15,35.92,34.47,34.74,146060
