date,open,high,low,close,volume
2021-12-01,17.47,17.905,16.24,16.38,824698
2021-12-02,16.43,16.62,15.98,16.425,699020
2021-12-03,16.43,16.44,14.625,15.185,1232858
2021-12-06,15.06,15.84,14.5,15.705,636265
2021-12-07,16.2,16.72,16.165,16.62,428310
2021-12-08,16.8,17.155,16.255,16.94,398331
2021-12-09,16.68,16.9,15.555,15.655,484616
2021-12-10,15.79,15.85,14.875,15.01,581481
2021-12-13,14.89,15.245,14.025,14.57,856900
2021-12-14,14.29,14.71,14.17,14.5,307165
2021-12-15,14.47,15.28,14.035,15.15,293043
2021-12-16,15.35,15.43,14.2,14.27,490233
2021-12-17,14.09,14.77,13.68,14.66,657224
2021-12-20,14.48,15.19,14.29,14.6,358507
2021-12-21,14.91,15.17,14.74,14.97,235764
2021-12-22,14.86,15.36,14.75,15,210295
2021-12-23,14.97,15.18,14.74,15.09,206714
2021-12-27,15.13,15.485,14.855,15.39,128333
2021-12-28,15.29,15.48,14.67,14.825,144513
2021-12-29,14.77,14.77,14.18,14.47,163654
2021-12-30,14.53,16.35,14.53,15.94,599480
2021-12-31,15.94,16.48,15.75,15.795,322718
2022-01-03,16.09,16.105,15.47,15.69,307651
2022-01-04,15.62,15.845,14.59,15.06,476052
2022-01-05,14.88,15.22,14.04,14.11,606023
2022-01-06,14.015,14.27,13.01,13.77,581061
2022-01-07,13.81,14.36,13.625,13.725,504672
2022-01-10,13.46,13.46,12.835,13.37,398632
2022-01-11,13.295,14.125,13.26,13.965,286206
2022-01-12,14.25,14.37,13.755,13.84,269975
2022-01-13,13.92,14.03,13.06,13.08,413320
2022-01-14,13.01,13.31,12.665,13.2,557183
2022-01-18,12.81,13.1,12.02,12.035,848277
2022-01-19,14.37,14.39,13.37,13.71,2832191
2022-01-20,14.3,16.47,14.025,14.985,2438499
2022-01-21,14.965,14.965,13.65,13.885,1422722
2022-01-24,12.99,13.325,11.84,13.32,1420660
2022-01-25,12.76,13.44,12.59,12.755,775658
2022-01-26,13.14,13.85,12.45,12.58,702106
2022-01-27,12.69,12.775,11.285,11.37,904317
2022-01-28,11.34,11.34,10.51,11.1,1509798
2022-01-31,11.205,12.49,11.08,12.475,663104
2022-02-01,12.72,13.55,12.38,13.27,838247
2022-02-02,13.04,13.045,11.9,12.16,856246
2022-02-03,11.785,12.17,11.385,11.57,652522
2022-02-04,11.5,12.07,11.17,11.885,454332
2022-02-07,11.96,12.37,11.675,11.71,274429
2022-02-08,11.73,12.14,11.55,12.125,255160
2022-02-09,12.4,12.985,12.2,12.86,329836
2022-02-10,12.42,13.4,12.32,12.4,481440
