date,open,high,low,close,volume
2021-01-08,141.725,145.6,139.33,142.55,141171
2021-01-11,140.11,140.5,136.93,138.27,88840
2021-01-12,140.165,141.58,139.16,141,63263
2021-01-13,141.97,143.46,140.55,141.66,68551
2021-01-14,143.06,147.425,142.815,145.26,102861
2021-01-15,146.445,147.96,141.7,141.98,118213
2021-01-19,145.415,146.22,144.28,146.14,41578
2021-01-20,148.71,149.63,146.88,147.19,56158
2021-01-21,148.3,148.34,144.65,144.81,58091
2021-01-22,144.21,146.15,143.9,146.08,55040
2021-01-25,148.61,149.78,143.11,146.6,137446
2021-01-26,146.935,147.26,141.75,141.8,108867
2021-01-27,138.36,142.485,135.24,138.4,207801
2021-01-28,138.64,141.81,138.49,140.32,65054
2021-01-29,140.95,140.98,135.44,137.4,139591
2021-02-01,139.89,142.75,138.52,142.68,119584
2021-02-02,145.285,147.88,145.01,147,106992
2021-02-03,148.5,148.59,145.52,146.07,86641
2021-02-04,147.9,148.46,147.06,148.32,43508
2021-02-05,148.75,149.7,147.44,149.43,61366
2021-02-08,151.97,153.86,151.57,153.3,74764
2021-02-09,153.82,156.62,152.93,154.895,114633
2021-02-10,157.12,157.87,150.58,153.075,229871
2021-02-11,155.35,156.31,152.425,154.64,136800
2021-02-12,154.045,156.56,152.21,156.56,89678
2021-02-16,159.155,159.64,154.81,155.16,144411
2021-02-17,152.6,152.74,147.68,152.02,199547
2021-02-18,149.165,150.2,146.17,149.22,169034
2021-02-19,151.27,153.92,151.04,152.6,66753
2021-02-22,149.68,150.78,143.3,143.76,194916
2021-02-23,136.19,139.85,126.82,139.09,1163584
2021-02-24,138.315,140.19,134.54,138.41,260576
2021-02-25,136.64,138.65,128.46,129.61,235532
2021-02-26,130.78,132.87,126.12,130.58,316558
2021-03-01,134.505,136.94,133.63,136.67,137601
2021-03-02,138.105,138.105,133.22,133.39,79844
2021-03-03,132.925,133.32,124.52,125.12,148300
2021-03-04,123.62,125.89,114.65,118.23,482964
2021-03-05,119.21,119.42,106.32,117.125,687797
2021-03-08,116.55,118.77,109.26,110.08,361092
2021-03-09,117.06,122.77,116.315,121.78,247030
2021-03-10,125.445,126.66,120.56,121.14,192625
2021-03-11,125.63,129.09,124.64,128.63,106844
2021-03-12,124.31,126.65,122.59,126.585,109194
2021-03-15,126.88,128.9,125.61,128.87,62120
2021-03-16,130.38,130.71,124.01,126.075,73439
2021-03-17,121.89,128.91,120.965,127.48,193093
2021-03-18,124.55,124.8,119.595,119.99,150607
2021-03-19,119.99,122.61,118.24,122.3,173294
2021-03-22,124.11,126.335,122.58,124.73,88344
2021-03-23,124.13,124.58,121.195,121.8,98716
2021-03-24,122.26,122.43,114.565,114.88,92911
2021-03-25,111.235,114.64,110.49,114.26,205219
2021-03-26,114.53,115.88,109.57,113.96,225564
2021-03-29,113.11,113.65,109.77,111.21,94624
2021-03-30,109.81,114.745,108.86,114.335,104485
2021-03-31,116.32,120.485,116.25,119.92,263151
2021-04-01,122.905,124.525,120.72,120.88,148342
2021-04-05,124.02,124.02,120.72,121.88,91253
2021-04-06,121.79,124.98,121.61,123.78,69039
2021-04-07,122.7,123.83,120.66,121.04,61736
2021-04-08,122.96,124.4,122.82,123.98,40668
2021-04-09,123.125,123.285,121.98,123.135,32636
2021-04-12,122.31,122.87,120.24,122.44,65294
2021-04-13,124.01,127.7,124.01,127.6,109762
2021-04-14,128.2,129.42,124.51,124.795,89384
2021-04-15,126.77,127.35,125.36,126.58,68769
2021-04-16,126.565,126.565,123.42,124.44,44598
2021-04-19,122.22,123.67,118.965,120.34,82498
2021-04-20,120.64,121.87,117.29,118.98,148385
2021-04-21,117.5,121.79,116.65,121.75,112502
2021-04-22,122.6,124.38,120.41,121.38,103821
2021-04-23,121.89,123.845,121.62,123.7,93752
2021-04-26,124.5,127.74,124.18,127.66,55766
2021-04-27,127.74,127.89,125.29,126.16,41007
2021-04-28,124.91,126.195,123.91,125.38,43540
2021-04-29,125.68,125.68,120.58,121.825,92820
2021-04-30,119.87,122.61,119.87,120.68,76822
2021-05-03,121.23,121.39,116.74,116.95,127954
2021-05-04,115.14,115.36,111.28,113.325,186805
2021-05-05,114.47,114.8,110.95,111.46,98689
2021-05-06,110.08,110.12,105.74,108.19,179354
2021-05-07,110.915,113.085,109.18,109.72,197164
2021-05-10,108.39,108.39,103.905,103.955,220858
2021-05-11,99.025,107.115,98.94,106.055,329041
2021-05-12,103.4,105.83,101.705,102.145,169063
2021-05-13,103.05,104.6,97.265,99.45,230280
2021-05-14,101.745,104.62,100.63,104.19,265092
2021-05-17,102.43,103.815,100.955,103.25,150679
2021-05-18,103.46,107.15,102.315,104.77,144919
2021-05-19,100.075,103.21,100.06,102.99,136391
2021-05-20,104.42,107.085,104.33,106.595,78654
2021-05-21,107.69,107.98,105.745,105.785,72347
2021-05-24,106.38,109.435,106,108.68,96554
2021-05-25,109.68,110.55,108.425,109.33,73777
2021-05-26,109.98,111.73,109.89,111.35,65244
2021-05-27,111.4,112.285,109.305,112.285,54306
2021-05-28,112.82,115.07,111.865,111.97,60960
2021-06-01,112.69,113.59,110.09,111.31,39854
2021-06-02,111.11,112.03,110.4,111.275,46376
2021-06-03,110,110.65,107.4,107.415,55076
2021-06-04,108.63,110.195,108.49,109.48,35351
2021-06-07,109.37,113.03,109.05,112.61,86872
2021-06-08,114.11,114.69,110.8,113.1,37838
2021-06-09,114.03,114.66,112.655,112.74,73559
2021-06-10,112.29,115.105,112.22,114.94,145022
2021-06-11,115.56,116.12,114.965,116.11,164559
2021-06-14,116.58,118.875,116.58,118.29,126321
2021-06-15,117.55,117.91,114.7,115.05,149790
2021-06-16,114.835,115.69,111.89,114.46,109375
2021-06-17,113.705,119.135,113.62,118.4,159341
2021-06-18,118.26,119.58,117.745,118.93,101872
2021-06-21,117.54,120.18,116.58,119.395,54639
2021-06-22,119.06,121.03,119.06,120.96,66703
2021-06-23,121.37,123.875,121.37,123.545,162273
2021-06-24,124.87,127.15,124.585,125.305,62416
2021-06-25,125.51,126.265,124.04,125.42,111611
2021-06-28,128.6,130.75,128.6,130.235,95749
2021-06-29,129.46,131.45,129.06,130.82,63433
2021-06-30,129.76,132.45,129.07,130.73,43558
2021-07-01,130.38,131.27,127.31,129.02,66242
2021-07-02,129.645,131.41,127.92,128.17,35604
2021-07-06,128.07,128.89,126.51,127.16,63384
2021-07-07,127.83,128.02,123.15,124.13,67620
2021-07-08,120.255,124.32,119.475,123.35,154690
2021-07-09,123.16,125.84,122.06,125.575,78267
2021-07-12,126.865,127.16,124.16,124.76,44944
2021-07-13,124.41,124.635,122.24,122.345,105803
2021-07-14,122.975,123.18,118.07,118.16,134312
2021-07-15,117.96,119.26,114.48,116.485,258122
2021-07-16,117.47,117.93,115.45,116.5,125945
2021-07-19,113.63,117.54,113.37,117.19,156268
2021-07-20,117.86,121.165,116.54,120.685,71231
2021-07-21,120.87,122.79,120.01,122.63,59252
2021-07-22,122.88,123.33,121.31,121.71,35959
2021-07-23,122.07,122.48,120.46,122.36,42142
2021-07-26,122.37,122.96,120.98,121.465,43564
2021-07-27,121,121.405,115.68,118.75,105912
2021-07-28,118.86,121.75,118.215,121.37,80016
2021-07-29,121.06,123.12,121.06,121.595,31290
2021-07-30,120.39,122.19,119.675,119.925,54626
2021-08-02,120.55,122.43,119.27,121.13,48925
2021-08-03,120.61,121.15,118.54,120.16,44454
2021-08-04,120.58,123.335,120.58,123.28,45078
2021-08-05,122.08,126.22,122.08,125.62,85691
2021-08-06,125.39,125.67,122.34,123.025,47678
2021-08-09,123.715,125.39,123.4,124.74,37466
2021-08-10,125.39,125.51,121.435,121.53,76067
2021-08-11,122.54,122.66,119.55,121.24,46301
